,iam-lab-1-start-point (Admin),iam-lab-2-start-point,iam-lab-3-start-point
CreateNewPolicyVersion,,,,
SetExistingDefaultPolicyVersion,,,,
CreateEC2WithExistingIP,,,,
CreateAccessKey,,,,
CreateLoginProfile,,,,
UpdateLoginProfile,,,,
AttachUserPolicy,,,,
AttachGroupPolicy,,,,
AttachRolePolicy,,,,
PutUserPolicy,,,,
PutGroupPolicy,,,,
PutRolePolicy,,,,
AddUserToGroup,,,,
UpdateRolePolicyToAssumeIt,,,,
PassExistingRoleToNewLambdaThenInvoke,,,,
PassExistingRoleToNewLambdaThenTriggerWithNewDynamo,,,,
PassExistingRoleToNewLambdaThenTriggerWithExistingDynamo,,,,
PassExistingRoleToNewGlueDevEndpoint,,,,
UpdateExistingGlueDevEndpoint,,,,
PassExistingRoleToCloudFormation,,,,
PassExistingRoleToNewDataPipeline,,,,
EditExistingLambdaFunctionWithRole,,,,
